,review,rating,support
25,"i love the idea of this app, but the execution was pretty bad. the app is slow and buggy, and irs frustrating to use. when i get notifications for an event i was invited to, it just slowly opens a blank screen and I have to kill the app. again, love the idea, but i still have to do most everything in the Facebook app because Local just isn't there yet",2,109
26,Out dated local knowledge with no apparent way of updating of making suggestions or reporting closures. Many of the places in my town listed have closed and many new places that have been open sometime have not be added. Quite a ridiculous app.,1,174
27,"The app loaded up, got me to give it various permissions and then went to an apparent ""home screen"" (denoted by a house icon) but then wouldn't do anything at all! DOESN'T WORK ON HUAWEI MATE 20 PRO so uninstalling and unimpressed!",1,54
28,Took 5 minutes to install and open. Looked around the app for 5 minutes. Slow. Inchoreant. I really wanted to like this because I like the idea but it just doesn't serve it's purpose well. So I uninstalled. Maybe in a few months I'll reinstall and see if things have improved.,1,125
29,"Get out of your rut! This is a great app to find things to do! The app takes events from Facebook and combines them all in one app, easy to use and interact with. I love the calendar feature! Find paint nights, bars, bands, workshops, classes, restaurants and anything that has been created as a public event on Facebook. We've filled several weekends with activities in the mornings and evenings. Great way to break the mold and find something fun to do.",5,186
30,"Great app when it works. Freezes too often. You have to exit the app and open it again to get it to work. I love it when it works, so not giving up on Facebook Local just yet. Hoping they fix it and I can change this review soon.",2,16
31,DEVELOPERS: was LOVING this app for the last year BUT now suddenly it logs me out every time. i have to log in every time i use it. i also uninstalled my Facebook app which I'm guessing is related soooo make it so that i can keep it logged in without the Facebook app or else this app is USELESS in the go and it's use has plummeted.,2,46
32,"Fails to deliver. App opens then collapsed. Did manage to scroll through events once but tried several times since with no joy! Great idea, but please fix issues.",2,28
33,would be a 5 but the notifications for events notify you AFTER they're over. never on time. and no settings to customize notifications that I'm aware of. not in a way that would help. it's very frustrating. i was just notified of an event today that was at 4 or 5pm and it's 10:27pm right now... not very helpful at all. and too many events to remember them all by memorization.,2,52
34,This app has a lot of potential but its really slow. the about page on events doesn't even pull up. The downloads will go through the roof if you can make it load everything faster.,3,8
35,"the very first thing that popped up on the very first day that I downloaded this app, was political, a meeting for people better in a different political party and me. I'm really not political but I so don't agree with this political party. So I'll just support local my way, positive proactive energetic and with a great deal of enthusiasm and Effectiveness to help other nonprofits",1,27
36,"Great app. All the best Facebook functions in one app. Just one small problem: In individual events, on the top fixed posts won't show up anymore at all in the app while they are still there on the website. Really annoying and probably easily ""fix""able.",4,5
37,"Man. I loved this app but the recent update has rendered it unusable. Suddenly none of my events appear and I get pushed these useless ""lifestyle lists."" Bring back basic event search!",2,34
38,the filters on this app are frustrating to use and are always pre-set and i feel that i only see events that i may be interested in. when id prefer to see everything. i know there are events upcoming but this app doesnt always show those events unless i really dig. i feel like im missing a lot. i wouldnt recommend using this app but instead try to go to a desktop instead,1,3
39,Very failure app. If you can mix Facebook events with calendar features. Then it can be good. But right now. It's worst. I also can't change my calendar view in here,1,33
40,App is quite useful. but it crashes and get stuck time to time. So it's hard to use. I'm gonna give it chance until the next update to fix it. if not I'm gonna uninstall.,3,3
41,"Absolutely worthless. Never finds anything. Facebook, or even a simple Google search does a much better job. I had searched for a gastro event for this weekend (I even knew its name!) . It came up with a presentation about psychopaths to be held months (!) later.",1,47
42,"No category for conventions or Comic-Con!! Not easy to find any comic book convention, anywhere. Only get 1 or 2 results. Conventions are huge events and fall under multiple categories like arts, literature, shopping etc. Needs it's own category!!!",2,84
43,"I love the app and the concept is great, but performance continues to disappoint. Doesn't feel optimized. Slow startup and loading times, sometimes doesn't load anything at all and app needs to be restarted. – Google Pixel 2XL, Android 9",2,21
44,"Great app and feature set. But performance wise it is frustrating, and I'm using a Pixel 2XL. Tapping a notification leads to and endless loading page. sometimes hlthe home page doesnt load. if fixed. this would be superb and a four/five star review.",3,15
45,"This app has effectively broken Facebook events for me. Every time someone posts in an event and I click the notification, it opens local but not the event itself so i have to dig around and find what the notification was trying to tell me. Very bad integration with Facebook too.",1,28
46,"Just another way for Facebook to drain my battery using location services for a pointless app. All the functionality of this app is already in the Facebook app, I don't understand why they made this at all.",1,109
47,"I do have an quite up to date timeline but the app doesn't load events, hoping a way around it would be copying the link to the event and open it in the browser. But that also doesn't work. :(",1,12
48,"My events, popular events, suggested events,.... Just show me all the events in one list with some filters. That's all. Gone back to Facebook events page. Stupid app",1,65
49,"Full of bugs, slow, i dont nnow if this was confusing my fb notifications or not but my guess is that it did. Otherwise it is a good idea to have an app like that, unfortunately it needs to be matured. Will try again in 6 months.",1,17
50,"A whole app but it still is worthless. Let people search by day, distance away, and show on map. Not too complicated.",1,78
51,"Broken. This app is just broken and useless. I was using it to monitor notifications for an event I'm hosting, and 1) it won't list out the people who decline, 2) it groups together notifications of people who have declined (Jane, John, and two others have declined) so I have no idea who declined, and 3) won't load the event page, so I can't see if someone has commented or posted in it. It is useless and broken.",1,160
52,"I don't understand and don't know why this app got negative reviews. In fact, it's amazingly beautiful app. I now know what all events and things happening around me so easily. Wow. 😊",5,12
53,"I use this app and it is useful. However, it is very buggy. It's difficult to find events you've RSVPed to. Adding comments is completely broken with my keyboard (every word i type is converted to the word 'I'm'. Seriously.).",3,16
54,"I love the concept, the only thing I really use the facebook app for anymore is to keep tabs on events so this was the perfect excuse to finally get rid of Facebook on my phone. I can't stress how badly I wanted this app to work but I've only been able to use it once since installing, it has consistently crashed within 5 seconds of opening the app. I really hope they fix these serious technical issues so I can give the 5 star rating I so desperately want to give.",2,61
55,It provides good information if you can actually find something. It iss so slow and sluggish. Difficult to use. It hangs. It's laggy.,2,3
56,"Wish I could give zero stars, because it just. does. nothing. I've tried everything and it just shows an empty page, time and time again.",1,9
57,"Don't have an opinion... Looks useful and promising but I couldn't connect to test it... 90+ mb's (....???) to stuck in the ""login with Facebook"" screen... Is it certain that this is a Zuckerberg application?",1,17
58,It is not up to date. Some business listed no longer exist and many good ones not included.,2,33
59,"Allright, but why not just include this in the standard facebook app? Use what knowledge one has from this app to make the events-secton of the main app stronger and more user friendly, instead of living with this fragmentation.",3,112
60,"It sounded so good, but I installed it. I live in the Blue mountains, most events were in the city, 80km away, not local would be a better name. Pity",2,10
61,Totally useless. Notifications you click on end with a blank screen. The main Facebook app does a much better job with the same notification.,1,21
62,doesn't let me login.... always says wrong password.... i afraid this might be a fake app to steal data,1,
63,"Not finding a way to use this app without having Facebook. Without that feature, the app doesn't work for me.",1,2
64,Great for those that want to stop mindlessly scrolling their newsfeed but don't want to miss out on hearing about events. Slick looking app with one big issue: it plays sounds even when my phone is on silent.,3,6
65,"this app never loads correctly, takes a long time to load, and often freezes. Its honestly easier to just use the facebook app to find the same info",1,7
66,So much easier to find events using this than full Facebook. Also great you have listened to people that want to use part of your platform but not all :),5,19
67,Love that lyrics show up automatically so don't miss beginning of song having to start up app. Really enjoy LyricsCards you can create and post to social media platforms. Great app!,5,85
68,Lack of advanced settings made me want to uninstall. Can't even figure out how to disable daily guide notifications which are annoying.,1,72
69,Completely unusable in current build. The app outright crashes after trying to load content with a frozen UI and a spinning loading icon.,1,4
70,"Interesting idea though i would have preferred this to be integrated in the Facebook app. Also while the app is useful for finding events, i find the layout a bit confusing",3,59
71,"It doesn't load, when the app is open. I get push notifications for events the day after they happen. I want to like it, but it's a wasted app. 😞",1,57
72,"Excessive resource utilization. Forced stop, literally never open it and it's used ~800mb and constantly rates for top resource usage within resources monitor so it's uninstalled.",1,6
73,"Good idea but poorly executed. Very laggy, doesn't actually show local things to do when you search for local events. Uninstalling.",1,8
74,"Utter rubbish. I searched my local area expecting to match my local knowledge against the wit and wisdom of this app's ""smart android"" intelligence. The so called local facilities and services recommended under each section related in most cases to a small handful of the worst of what is available! In some cases recommendations were miles and miles away whilst In other cases the businesses don't exist any more! One recommended Eatery which the app promotes and which WAS literally 60 metres from MY front door folded over 10 years ago! The app also constantly and annoyingly defaults to an area of central London despite location filters being repeatedly reset to ""near me"" which in my case is 280+ miles from that area!",1,9
75,"This app just doesn't work. Apparently I have 8 notifications on it, but all I get is a blank non-responsive screen. The idea is sound but the app is broken.",1,9
76,"App literally only fills up half the screen with no option to expand it. So, I can't even read the entire page of the events.",1,10
77,Local notifications never open the app correctly. almost everyone i tap on just takes me to a blank Local App screen,2,2
78,"The most unstable app I can remember using. A useful concept but not very well developed, realised or updated.",2,11
79,"I don't mind using another app, I do mind if its very broken, I actually like the idea of it though. Rarely loads for me, and is slow.",1,15
80,The app stopped in the middle of the events page and would go no further. I'm very disappointed and will be uninstalling this app.,1,54
81,"A laggy, poorly optimized system that takes address to load. It's a great idea, but the implementation is terrible.",2,11
82,aanother useless app from facebook. soon you will need a sepparate app for anything. thank you for not caring on users oppinion once again.,1,20
83,hate that i have to keep looking for my location. should be able to lock a location easily and not have to search it again.,2,
84,I used to LOVE this app! Now NOTHING shows up and I can't review my outings or future engagements! Disgusted! Bring back the original!!,1,9
85,"Worked for a while, but before I could use it for real it stopped working (crashed), and even on update app ""stopped working""",2,17
86,"Doesnt work, click to log into Facebook and the button flickers like its pressed but nothing happens.",1,12
87,"I like the app, just kinda annoying that you have to download it why can't this just be included in the main FB app instead of wasting more system resources?",4,77
88,"I really like this app, but it won't open 50% of the time. I have to kill the app and open it to make it work again.",3,6
89,opened app. it displayed nothing. nice try anyway.,1,2
90,This does not work on my phone anymore. I reinstalled it and it's a blank screen and I'm not able to search anything.,1,38
91,Share links generated by this app are not detected by this app on a receivers phone. Add functionality to be able to open Facebook event links with this app...it's the entire point of using this app 🤦‍♂️,2,37
92,Frequently freezes when opened from a notification. Duplicates most of the event functionality found in the Facebook app.,2,3
93,Doesn't function. At start shows an empty screen and simply freezes. I can't switch between the tabs. Used to work just fine so what changed?,1,6
94,"I wish we could created filters based on keywords or personalize what is recommended to us. For example ""I don't wanna see events with the keywords samba"". Other than that, it's a good option for those who want to get rid of the Facebook app.",3,15
95,Why the app doesn't let me open the full pages and events in the fb app or the browser ?!! What if I want to see the full page of a certain café for example or checking the page of a company that hosting an event,3,19
96,locks up constantly. you have to relaunch it two or three times to get any information to actually populate on the screen,2,2
97,FACEBOOK LOCAL IS GIVING BACK TO OKLAHOMA GROUPS AND OUR COMMUNITY. INCREASED MEDIA COVERAGE MAKING AWARENESS MORE ACCESSIBLE TO THOUSANDS. loop,5,11
98,"Absolutely useless. Filters don't work. I want to look for family events, in kent, today, and am being shown stuff that's on next month. Ridiculous.",1,2
99,Useless app. Brings nothing new to old Facebook app.,2,12
100,After the update it crashes before I can even get to the app! Super frustrating,1,41
101,"Great idea executed poorly. Slow, buggy, non-intuitive.",2,55
102,"So nice to get what I actually want and need from FB, without all the junky newsfeeds and notifications. A groups app would be nice to have next 🙏",5,5
103,"Won't load!! I've uninstalled reinstalled turned off phone turned back on, nothing.",1,21
104,"Constantly freezing, never gives notifications for events or comments made on event posts. Waste of time",1,3
105,"No show all events, no show events of others city's and neighborhoods. Map search do not work very well.",2,7
106,Used to be ok. Now I have to open it then close it then open it again as it always freezes the first time,2,7
107,"App doesn't work. I press ""sign in with Facebook"" and nothing's happening",1,21
108,Freezes EVERY TIME I tap something. Used to work nicely. Not any more. Oneplus 5 user.,1,1
109,"you need to fix the font, the letters are showing as squares, and can't pass the first screen, as i have a customized font which works everywhere but not your app.",1,6
110,The app freezes in a lot of the sections. It crashes when trying to create a new list of places,2,4
111,idea is great but poor execution. crashed and freezes constantly,1,5
112,Kept freezing. Not very intuitive. Didn't make it easy to do the things I wanted.,1,5
113,Please fix the bug that several people have mentioned where it opens to a blank screen and needs to be killed and reopened before it can be used! This happens most of the times I try to use it.,1,2
114,Shows places that are closed down years ago. Maps not good either.,1,22
115,"I like the concept, but the app does not stay in memory and takes a long time to open. I'm on LG V30.",2,26
116,Doesn't load anything. Acts as if there's no internet connection.,1,35
117,"Use work but hasnt worked in a while, tried deleting nd downloading it again but still same problem ,white screen and now of the on screen buttons working, was going to share screen shot of the problem but not possible in a review",1,1
118,Rarely ever even works. Would like tk use regularly but seems like FB doesn't spend the time to keep it running well on Android. Works fine on my wifes iphone. Also navigating to find events needs to be completely revamped.,1,4
119,Can't get past login screen. Useless. (Galaxy Note 3 / Android 5.0).,1,6
120,a good app to have a four different scribers in different Facebook and different websites just to have for software it update your software and update your drive hard drives and and cleaned it all out where the point where the system will be operating in a better order for you set up a better system you create your own self and show to the community you could build it yourself where build you a better website 4 people other uses,5,2
121,This app is great keeping me up to date with things to do and go looking forward to being busy haveing fun thank you,5,18
122,Can't even sign in. The button doesn't do anything. Useless.,1,30
123,"Crashed with blank white screen upon load. Note 9 Snapdragon, OneUI Jan patch.",1,1
124,"Why ask me to rate, the app hasn't even opened up yet. Maybe after I open it and use it. I can honestly rate IT",1,11
125,"live outside St. Louis-things going on here/to S, only things listed were for city itself!!",2,2
126,It's never worked for me. I'll get a notification on my phone and when I go to the app it's nothing but a white screen. Nothing loads up. I wait and wait and still nothing.,1,9
127,"The calendar is not used friendly. Especially if I""m browsing for future events of uncertain type of event.Good Freaking Luck with that. I want further than a week or two.",2,4
128,It used to work ok then it updated and wont allow you to search anymore. So disappointed.,1,4
129,Just what I've been looking for. Keeps me informed of all the events in and around Cape Town. Thanks you so much.,5,15
130,I just wanted Facebook and messenger to show up on my phone I can't get either one,1,3
131,The app doesn't work. It loads a blank screen and freezes.,1,21
132,Does not work on Pixel 3 XL Android P.,1,27
133,disappointed. frustrating to navigate. waste of time. just look events up from your FB page.,1,3
134,Great for people who don't want to be on Facebook but want to keep up with nearby events with friends!,5,19
135,create new list crashes the app. good idea though,2,7
136,"great app but ,i just want to go to a drive inn food,movie,hell it can be a swamp",5,38
137,kind of lacking in events and I can only look one week in advance.,2,4
138,This app very usefull app great work Facebook official app add new business on Facebook local increase your business,5,8
139,"Doesn't work, I've installed it and uninstalled it twice and it keeps freezing and sending me out of it.",1,
140,"Very helpful, keeps you inform of every event happening in your state & community",5,34
141,"So slow, maps and data don't load. Completely useless, I'm amazed they released the app with so little testing as it just doesn't work.",1,1
142,I think it's a great page to have when you want to find a great place to go and when it's going to be.,5,19
143,"App sucks. It would be great if it worked, but it opens and doesn't show a single thing. I can't click any buttons either. (Pixel 2)",2,1
144,Application freezes more often than not and it has been reported by android battery diagnosis as consuming way more than it should in background,1,4
145,It never opens and always crashes in landscape screen mode both on my phone and tablet.,2,7
146,very slowly. useless. not user friendly interface. outdated design,1,
147,"keeps crashing on me, i can't even log in!",1,4
148,"this app has never worked for me, it gets stuck on a blank home screen and is unresponsive",1,2
149,This app very good to have on your phone,5,19
150,Lags and freezes up. Causes my phone to freeze up,1,3
151,"Currently it freezes on my latest Android, I can't interact with it.",1,
152,Out of date listing for closed restaurants and coffee shops. Not reliable!!,2,1
153,"I need events in my area, but have no way to select the radius around my zip. Please update this so I can use this app.",1,4
154,I love me some ribs and they were great,5,25
155,"Im getting notifications but when i click on it to look, im taken to a screen that does NOTHING.",1,
156,Events For Pottstown❓thats surprises me. Anxious 2C what they are❓,5,
157,Still need to have a facebook account to use the app. What's even the point?,1,5
158,Awful app. Constantly crashes or just doesn't load at all. just another Facebook product to drop,1,1
159,"It doesn't function, freezes all the time",2,13
160,crash and crash loading and loading first ever facebook app i can uninstall because i dont like,1,1
161,93mb woooooow! I guess those spy tools take so much memory. Map shows blank nothing,1,2
162,Totally useless. Also crashed my main frame.,1,4
163,used to love this app but now when I open it's just a blank screen and freezes. :-(,1,2
164,Typical hackish Facebook rubbish - another one uninstalled,1,1
165,The event details don't load. The app is broken,1,
166,"when I set for Suffolk county, New York, giving me Connecticut and Rhode island events. this is not helpful.",1,
167,shite. opens tries to load and crashes out,1,2
168,"This app is great, very good info.",5,33
169,Won't open. When it does it doesn't give all the information as Facebook.,3,1
170,"stopped working. opens, tries to load for a while, closes again.",1,1
171,Doesn't seem to allow translate function,3,
172,Things I was actually interested in came in at the top of the list. Therefore useful.,4,5
173,Very slow. Events do not always upload.,2,2
174,great ideas and places to go awesome!!!,5,3
175,"Very Very Glitch, it has the potential to be great but right now it sucks.",2,
176,Constant freezing since last update.,1,1
177,Would be nice if I could look specifically for family events!,3,14
178,"I don't live in Dallas Need Hardy, Little Rock and Memphis area",3,5
179,Can't even log in. I've deleted and installed twice and still won't go pass the log in screen,1,5
180,Haven't been on it long but I think this will be good for me....,4,11
181,Would be great if I lived in a big city sucks for small towns,1,8
182,I always wanted to know what is going on around me and now I do,4,5
183,No complaints so far so good,3,3
184,Facebook suspended my account for a BS comment that didnt violate community standards. Cant use app yet.,3,3
185,Worked really easy. Thank goodness,5,19
186,i will be doing the meditation. may all i intend to reach with it feel surges of unconditional love from source.,5,3
187,Stopped working a while ago.,1,1
188,Great for creating an event.... announcing it.... and inviting specific friends to it ... or anybody who would like to go!,5,7
189,Doesn't work on Android Q (beta),1,
190,"When I click on Sign in with Facebook, nothing happens.",1,17
191,"Helpful, convenient, easy way to find things to do",5,17
192,I like that we have options of where to see interesting events,5,20
193,I think it's great to be able to keep up with local activities!,5,8
194,Fails to send SMS for logging in,1,61
195,Shows a poor rating of my business vs any other social media with no explanation,1,
196,I really like this no adds all events it's very nice thank you,5,9
197,every event you need close to home.,5,1
198,Uninstalling as there is no way to keep this app from draining my battery. Why make apps that do this? Few can actually use them.,1,1
199,Had fun tonight because of this app,5,33
200,Crashes just after it opens,2,26
201,"So, in order to get to the MAP of events, you have to click ""More"" and then ""Events"".............. WHAAAT?!",2,14
202,I love being connected with my church and community!!,5,10
203,"good at finding events in your town or a town you plan on visit, good that links with Facebook and your friends",4,3
204,Tapping notifications just relaunches previous screen instead of navigating,2,31
205,"With the creation of this app, Facebook removed the option to add your Facebook events to your Google or iPhone calendar.",2,3
206,Get access for immediate info on happenings👍,5,25
207,never opened the app.not interested. dont know why I downloaded it to begin with.,1,1
208,"Glad for the app,is very helpful and useful..thank you..",5,11
209,a nice way to view events without having to use the main app! very clean and intuitive,5,7
210,"Love the local ,keeps intouch with the community !",5,5
211,Just started using this App....too soon to tell if I like it or not.,3,2
212,just getting started. I'll have to update after I use the app for a minute:),4,2
213,Very amazing & creative so that we eaisly involve in various adventure activities,4,5
214,Great App very useful👍,5,17
215,App crashes - Note 9,1,2
216,Not enough content. No option to add a venue,3,5
217,Won't even open on my phone! Never had a problem with any other apps before,1,6
218,doesn't work in Philadelphia,1,1
219,Keeps sending me updates but will not up date,1,3
220,great app! but on my oneplus it doesnt work anymore. will this be fixed???,3,
221,not working even one time !,1,1
222,"The result are not showing up. I will stick to uvibe, it does the job.",1,
223,it just doesn't work,1,1
224,It doesnt work,1,2
225,downloaded it and it immediately froze and crashed,1,1
226,This is not local,1,
227,Love it! Easy to use. Keeps me in the know.,5,8
228,Why not include this in the official Facebook app?,3,12
229,Really fantastic asset at My fingertips,5,6
230,Useless event notifications system,1,3
231,Clicked on connect to Facebook. No respond.,1,14
232,I 🙏 that's everything is Safe on here and that's it's Protect you From Bad And Evil People,5,6
233,App will not open for me after entering email and password.,1,
234,Just joining will lil et you know if I like it,5,10
235,Very amazing and fun,5,1
236,absolutely fantastic love it,5,1
237,freezes and crashes...junk!,1,2
238,hi call me back if you get a chance,4,1
239,great to see what is on then you don't miss something you would like to see,4,
240,Shows blocks instead of text after updating to Pie,1,3
241,Starting out today.. seems very helpful so far.,5,4
242,the map doesn't work,3,
243,"Great App for finding where to be,things to do & places 2 eat!",5,2
244,so far so good,5,1
245,PRANAM N PRANAMG OOLL THE BEST TRUTHFULLY TRUTH LOVE PEACE WITH MICROSOFT FAMILY'S OOMPRAKASH PUTOHIT LVUOOMAA,5,
246,Got Everything I Was Looking For..,5,4
247,Good and useful app,5,13
248,Just started!!! Will let you know !!!,5,4
249,"Stays searching for city. Entered city, nothing happens. Uninstall.",1,2
250,not opening mark!!,1,1
251,Doesn't work.,1,2
252,Very helpful guide to community events.,5,3
253,"Look good, now the fun begins",5,7
254,"love it, I have so many options nearby",5,4
255,it's funny application,5,1
256,Literally doesn't even let me sign in.,1,2
257,Seems great.,5,11
258,1st time.. fun times ahead!!,5,7
259,Hi there this is Clara .. come and have a chat with me ..,5,5
260,No longer works on the pixel 3.,1,3
261,"Long-press icon. Calendar, Search nearby",3,1
262,Great way to find local events when home or traveling. Never a dull weekend,4,2
263,Just opened it need to use it to completely understand. The events Were awesome,5,1
264,crashes constantly,1,
265,Won't let me even sign in.,1,2
266,Not sure yet.,4,1
267,frozen. don't bother,1,1
268,Doesn't work.,1,
269,Will let you know but seems a good short cut,5,6
270,nice nice but it would be good if it was better,5,3
271,nothing local for me at all.,1,1
272,very good and keeping me informed well appreciated,5,2
273,Great app for staying up to date on local events.,5,3
274,does not work,1,2
275,Complete rubbish this app,1,2
276,Most of the time it doesn't load the information or works extremely slow.,2,1
277,Does not work,1,3
278,Keeps freezing.,2,1
279,Great app for what's going on around town!!,5,4
280,Beautiful! Amen!,5,8
281,Many important events are not covered thus making it useless.,1,2
282,i love the idea but most of the time it displays blank page.,1,
283,not interested,2,
284,hoa nguyen,5,
285,not working,1,
286,Love how helpful this is,5,1
287,Fantastic for events,5,4
288,Google is better way,1,13
289,"the app simply didn't load any data. OnePlus 5, Android 9",1,
290,Please tell me what is this,3,1
291,Requieres a Facebook account,1,2
292,the best AnA Rc cars,5,
293,Best app yet for events,5,
294,Absolutely excellent service! Eddie Floyd,5,
295,"Nice app, but has bug with creating of list",5,1
296,Couldn't sign in.,1,5
297,Better than using the Facebook app itself!,4,
298,you can use this and just disable your fb... its bliss.,5,2
299,Should be under 'F',3,
300,Brilliant information site.,5,
301,"app does not load, its just crashing",1,
302,"Just got started, will let you know later.",4,2
303,Good easy to find local community events,4,5
304,"Never worked, it crashes right after opening it.",1,
305,Women are beautiful.💝💞🆒🆗😍😍,5,6
306,Excellent. Does exactly what it says.,5,
307,the app wont open. I'd give it a zero if I can,1,
308,It suck,1,1
309,Crashes at startup,1,1
310,Absolute tosh,1,15
311,Good. Penny Tyler Keinberg.,4,
312,Great fun!,5,6
313,won't open,1,2
314,Construction works,5,3
315,I love this app.,5,3
316,Not good,1,5
317,"Nice to be a part if the show, (Now)",4,2
318,Very convenient app for Facebook Event 👍,5,
319,All good yy,5,1
320,Very convenient and helpful,5,3
321,Seem to be very informative. Like it!,5,
322,Finally!!! The most useful part of facebook!,5,
323,Vary nich,5,4
324,More notification,5,3
325,மிக சிறப்பு,5,1
326,Great idea,4,25
327,Helps with getting my weekends organized,5,3
328,Haven't used it yet. Looks good.,4,4
329,unusable slow,2,1
330,Love this!!,5,2
331,buggy and slow,2,2
332,Blow me,5,4
333,جميل اوى,5,
334,Family members,5,2
335,Good to know whats going on in kc. 👀👀👀 👀👀👀,5,2
336,I LOVE THIS APP!!,5,
337,Very helpful,5,3
338,Nothing is shown,1,3
339,Rakesh Bhai,5,3
340,Its good.,5,4
341,Great app. Thks,5,2
342,Very informative. Thank you,5,
343,crashes and is buggy,1,1
344,Loading issue,1,3
345,👍👍👍,5,6
346,Works fine now!,5,1
347,I love Facebook,5,2
348,***** ***** *****,5,5
349,ok,5,
350,OK,5,
351,chelseacarter,5,
352,lol,5,
353,Great app!!! perfection,5,
354,Very useful,4,
355,Cool +informative,3,3
356,1.0 gig app. why???,1,1
357,Ty,5,6
358,love dis app,5,
359,Its just great,5,2
